file,refNum,cue,citation,currentCaseId,caseId,miranda,referenceUrl
"coa/2007/2007_03957.md","5","see","People v Miller, 6 NY3d 295, 301 [2006]). Specifically, Penal Law § 125.27 (1) (a) (viii) and (b) states that,","2007_03957","2006_01194","https://miranda.jurisware.com/case/2006_01194/","[5] https://www.nycourts.gov/reporter/3dseries/2006/2006_01194.htm"
"coa/2007/2007_04679.md","3","bare","People v Catu (4 NY3d 242 [2005]) did not require a different result. A Judge of this Court subsequently granted defendant leave to appeal, and w","2007_04679","2005_02362","https://miranda.jurisware.com/case/2005_02362/","[3] https://www.nycourts.gov/reporter/3dseries/2005/2005_02362.htm"
"coa/2007/2007_04679.md","4","bare","People v Van Deusen, 7 NY3d 744, 745-746 [2006]).","2007_04679","2006_05154","https://miranda.jurisware.com/case/2006_05154/","[4] https://www.nycourts.gov/reporter/3dseries/2006/2006_05154.htm"
"coa/2007/2007_04679.md","6","see","generally People v Catu, 4 NY3d 242, 245 [2005]). Thus, defendant was required to preserve the issue as nothing in this case calls for the ""rare case"" exce","2007_04679","2005_02362","https://miranda.jurisware.com/case/2005_02362/","[6] https://www.nycourts.gov/reporter/3dseries/2005/2005_02362.htm"
"coa/2007/2007_04679.md","7","see","People v Fulton, 30 AD3d 961 [4th Dept 2006], lv denied 7 NY3d 789 [2006]).","2007_04679","2006_04528","https://miranda.jurisware.com/case/2006_04528/","[7] https://www.nycourts.gov/reporter/3dseries/2006/2006_04528.htm"
"coa/2007/2007_04720.md","5","bare","People v Caban, 5 NY3d 143, 149 [2005]).","2007_04720","2005_04988","https://miranda.jurisware.com/case/2005_04988/","[5] https://www.nycourts.gov/reporter/3dseries/2005/2005_04988.htm"
"coa/2007/2007_05133.md","3","see","People v Mills, 1 NY3d 269 [2003]). By pleading guilty, defendant waived the defense.","2007_05133","2003_17888","https://miranda.jurisware.com/case/2003_17888/","[3] https://www.nycourts.gov/reporter/3dseries/2003/2003_17888.htm"
"coa/2007/2007_05133.md","4","see","People v Lopez, 6 NY3d 248 [2006] [holding that a defendant's valid waiver of the right to appeal includes the waiver of the right to invoke the A","2007_05133","2006_01195","https://miranda.jurisware.com/case/2006_01195/","[4] https://www.nycourts.gov/reporter/3dseries/2006/2006_01195.htm"
"coa/2007/2007_05136.md","3","see also","People v Lopez, 5 NY3d 753, 754 [2005]). Under the circumstances of this case, defendant had ample access to relevant information regarding the fa","2007_05136","2005_05454","https://miranda.jurisware.com/case/2005_05454/","[3] https://www.nycourts.gov/reporter/3dseries/2005/2005_05454.htm"
"coa/2007/2007_05136.md","4","bare","cf. People v Bryant, 8 NY3d 530, 534).","2007_05136","2007_03791","https://miranda.jurisware.com/case/2007_03791/","[4] https://www.nycourts.gov/reporter/3dseries/2007/2007_03791.htm"
"coa/2007/2007_05584.md","3","bare","People v Bradley (8 NY3d 124 [2006]), we had occasion to apply the ""primary purpose of the interrogation"" analysis set forth in Davis to a statement","2007_05584","2006_09501","https://miranda.jurisware.com/case/2006_09501/","[3] https://www.nycourts.gov/reporter/3dseries/2006/2006_09501.htm"
"coa/2007/2007_05584.md","4","bare","People v Bradley (8 NY3d 124 [2006]), Officer Doyle asked ""what{**9 NY3d at 20} happened"" not as a means of finding out what caused Millares's injur","2007_05584","2006_09501","https://miranda.jurisware.com/case/2006_09501/","[4] https://www.nycourts.gov/reporter/3dseries/2006/2006_09501.htm"
